=== Conectado a bancada de giro ===
Envie 's' para girar. 'p' aborta.
[GIRO] Girando... (log so no fim)
[GIRO] Alvo +180.0 | Final +18.51 | Erro +161.49 | 1436 ms | fim: travou
---- INICIO TELEMETRIA (CSV) ----
t_ms,ang_z,erro,velGiro,correcao,pwmEsq,pwmDir,encEsq,encDir
11,0.01,179.99,0.84,100.00,0,0,0,0
21,0.01,179.99,0.77,100.00,-100,100,-3,2
31,0.02,179.98,5.36,100.00,-100,100,-7,4
41,0.16,179.84,21.32,100.00,-100,100,-9,4
51,0.38,179.62,19.16,100.00,-100,100,-10,5
61,0.55,179.45,16.83,100.00,-100,100,-11,5
71,0.72,179.28,18.07,100.00,-100,100,-12,6
81,0.91,179.09,18.57,100.00,-100,100,-12,6
91,1.09,178.91,18.60,100.00,-100,100,-13,6
101,1.28,178.72,20.11,100.00,-100,100,-14,7
111,1.50,178.50,22.74,100.00,-100,100,-14,8
121,1.73,178.27,25.45,100.00,-100,100,-16,8
131,2.00,178.00,27.06,100.00,-100,100,-16,9
141,2.27,177.73,27.46,100.00,-100,100,-17,10
151,2.55,177.45,27.76,100.00,-100,100,-18,11
161,2.83,177.17,29.47,100.00,-100,100,-20,12
171,3.13,176.87,31.16,100.00,-100,100,-20,13
181,3.45,176.55,33.00,100.00,-100,100,-22,14
191,3.79,176.21,33.38,100.00,-100,100,-22,15
201,4.12,175.88,32.77,100.00,-100,100,-24,16
211,4.45,175.55,34.22,100.00,-100,100,-24,17
221,4.80,175.20,35.55,100.00,-100,100,-26,18
231,5.16,174.84,37.10,100.00,-100,100,-26,19
241,5.53,174.47,35.74,100.00,-100,100,-28,20
251,5.88,174.12,36.29,100.00,-100,100,-28,22
261,6.25,173.75,35.72,100.00,-100,100,-29,23
271,6.60,173.40,35.48,100.00,-100,100,-30,24
281,6.95,173.05,35.61,100.00,-100,100,-31,26
291,7.31,172.69,36.84,100.00,-100,100,-32,27
301,7.68,172.32,36.56,100.00,-100,100,-33,28
311,8.05,171.95,36.28,100.00,-100,100,-34,30
321,8.41,171.59,36.81,100.00,-100,100,-35,31
331,8.77,171.23,36.04,100.00,-100,100,-36,32
341,9.12,170.88,31.36,100.00,-100,100,-36,33
351,9.41,170.59,26.77,100.00,-100,100,-37,34
361,9.68,170.32,25.69,100.00,-100,100,-38,34
371,9.92,170.08,21.86,100.00,-100,100,-38,35
381,10.13,169.87,20.49,100.00,-100,100,-39,36
391,10.33,169.67,20.63,100.00,-100,100,-40,36
401,10.53,169.47,19.56,100.00,-100,100,-40,37
411,10.72,169.28,17.43,100.00,-100,100,-40,37
421,10.88,169.12,15.23,100.00,-100,100,-40,37
431,11.02,168.98,12.16,100.00,-100,100,-41,38
441,11.13,168.87,8.80,100.00,-100,100,-41,38
451,11.21,168.79,6.03,100.00,-100,100,-41,38
461,11.26,168.74,4.18,100.00,-100,100,-41,38
471,11.29,168.71,2.96,100.00,-100,100,-41,38
481,11.32,168.68,2.25,100.00,-100,100,-42,38
491,11.34,168.66,2.04,100.00,-100,100,-42,38
501,11.36,168.64,1.74,100.00,-100,100,-42,38
511,11.38,168.62,1.69,100.00,-100,100,-42,38
521,11.39,168.61,1.84,100.00,-100,100,-42,38
531,11.41,168.59,2.08,100.00,-100,100,-42,38
541,11.43,168.57,2.40,100.00,-100,100,-42,38
551,11.46,168.54,2.90,100.00,-100,100,-42,38
561,11.49,168.51,3.56,100.00,-100,100,-42,39
571,11.53,168.47,4.39,100.00,-100,100,-42,39
581,11.58,168.42,5.56,100.00,-100,100,-42,39
591,11.64,168.36,7.06,100.00,-100,100,-42,39
601,11.72,168.28,8.71,100.00,-100,100,-42,40
611,11.81,168.19,9.71,100.00,-100,100,-42,40
621,11.91,168.09,10.69,100.00,-100,100,-43,40
631,12.02,167.98,11.48,100.00,-100,100,-43,41
641,12.14,167.86,12.16,100.00,-100,100,-44,41
651,12.27,167.73,12.71,100.00,-100,100,-44,42
661,12.40,167.60,13.11,100.00,-100,100,-44,42
671,12.52,167.48,11.55,100.00,-100,100,-44,42
681,12.63,167.37,10.93,100.00,-100,100,-45,42
691,12.74,167.26,9.64,100.00,-100,100,-45,43
701,12.83,167.17,9.09,100.00,-100,100,-45,43
711,12.92,167.08,8.80,100.00,-100,100,-45,44
721,13.01,166.99,8.80,100.00,-100,100,-45,44
731,13.10,166.90,8.93,100.00,-100,100,-45,44
741,13.19,166.81,9.58,100.00,-100,100,-46,45
751,13.29,166.71,10.68,100.00,-100,100,-46,46
761,13.40,166.60,11.35,100.00,-100,100,-46,46
771,13.52,166.48,12.24,100.00,-100,100,-46,47
781,13.64,166.36,12.52,100.00,-100,100,-46,47
791,13.76,166.24,11.63,100.00,-100,100,-47,47
801,13.87,166.13,11.10,100.00,-100,100,-48,47
811,13.98,166.02,11.32,100.00,-100,100,-48,47
821,14.10,165.90,12.16,100.00,-100,100,-49,47
831,14.23,165.77,13.45,100.00,-100,100,-50,48
841,14.37,165.63,14.56,100.00,-100,100,-50,48
851,14.52,165.48,14.92,100.00,-100,100,-50,49
861,14.67,165.33,15.17,100.00,-100,100,-50,49
871,14.82,165.18,16.48,100.00,-100,100,-51,50
881,14.99,165.01,18.33,100.00,-100,100,-52,51
891,15.18,164.82,19.89,100.00,-100,100,-52,51
901,15.38,164.62,18.55,100.00,-100,100,-52,52
911,15.57,164.43,19.03,100.00,-100,100,-54,52
921,15.77,164.23,21.58,100.00,-100,100,-54,53
931,15.99,164.01,23.58,100.00,-100,100,-55,54
941,16.23,163.77,25.32,100.00,-100,100,-55,55
951,16.50,163.50,26.71,100.00,-100,100,-56,56
961,16.76,163.24,25.25,100.00,-100,100,-56,57
971,17.01,162.99,24.44,100.00,-100,100,-57,58
981,17.25,162.75,23.71,100.00,-100,100,-58,59
991,17.48,162.52,21.81,100.00,-100,100,-58,59
1001,17.68,162.32,18.55,100.00,-100,100,-58,60
1011,17.86,162.14,16.43,100.00,-100,100,-59,60
1021,18.00,162.00,12.09,100.00,-100,100,-59,60
1031,18.10,161.90,7.69,100.00,-100,100,-59,61
1041,18.17,161.83,3.86,100.00,-100,100,-59,61
1051,18.19,161.81,1.38,100.00,-100,100,-59,61
1061,18.20,161.80,1.03,100.00,-100,100,-59,61
1071,18.21,161.79,1.00,100.00,-100,100,-59,61
1081,18.22,161.78,0.73,100.00,-100,100,-59,61
1091,18.23,161.77,0.95,100.00,-100,100,-59,61
1101,18.24,161.76,0.76,100.00,-100,100,-59,61
1111,18.24,161.76,0.79,100.00,-100,100,-59,61
1121,18.25,161.75,0.85,100.00,-100,100,-59,61
1131,18.26,161.74,0.84,100.00,-100,100,-59,61
1141,18.27,161.73,0.85,100.00,-100,100,-59,61
1151,18.28,161.72,0.83,100.00,-100,100,-59,61
1161,18.29,161.71,0.81,100.00,-100,100,-59,61
1171,18.29,161.71,0.86,100.00,-100,100,-59,61
1181,18.30,161.70,0.84,100.00,-100,100,-59,61
1191,18.31,161.69,0.84,100.00,-100,100,-59,61
1201,18.32,161.68,0.87,100.00,-100,100,-59,61
1211,18.33,161.67,0.80,100.00,-100,100,-59,61
1221,18.34,161.66,0.80,100.00,-100,100,-59,61
1231,18.34,161.66,0.84,100.00,-100,100,-59,61
1241,18.35,161.65,0.80,100.00,-100,100,-59,61
1251,18.36,161.64,0.80,100.00,-100,100,-59,61
1261,18.37,161.63,0.84,100.00,-100,100,-59,61
1271,18.38,161.62,0.82,100.00,-100,100,-59,61
1281,18.39,161.61,0.84,100.00,-100,100,-59,61
1291,18.39,161.61,0.82,100.00,-100,100,-59,61
1301,18.40,161.60,0.79,100.00,-100,100,-59,61
1311,18.41,161.59,0.79,100.00,-100,100,-59,61
1321,18.42,161.58,0.89,100.00,-100,100,-59,61
1331,18.43,161.57,0.84,100.00,-100,100,-59,61
1341,18.43,161.57,0.83,100.00,-100,100,-59,61
1351,18.44,161.56,0.80,100.00,-100,100,-59,61
1361,18.45,161.55,0.82,100.00,-100,100,-59,61
1371,18.46,161.54,0.84,100.00,-100,100,-59,61
1381,18.47,161.53,0.90,100.00,-100,100,-59,61
1391,18.48,161.52,0.87,100.00,-100,100,-59,61
1401,18.49,161.51,0.84,100.00,-100,100,-59,61
1411,18.49,161.51,0.88,100.00,-100,100,-59,61
1421,18.50,161.50,0.87,100.00,-100,100,-59,61
---- FIM (142 amostras) ----
[GIRO] Fim. Envie 's' para repetir.
[GIRO] Girando... (log so no fim)
[GIRO] Alvo +180.0 | Final +177.70 | Erro +2.30 | 1446 ms | fim: ok
---- INICIO TELEMETRIA (CSV) ----
t_ms,ang_z,erro,velGiro,correcao,pwmEsq,pwmDir,encEsq,encDir
11,0.01,179.99,0.85,100.00,0,0,0,0
21,0.02,179.98,0.84,100.00,-100,100,-2,2
31,0.03,179.97,5.13,100.00,-100,100,-8,4
41,0.17,179.83,23.62,100.00,-100,100,-10,5
51,0.41,179.59,23.34,100.00,-100,100,-11,6
61,0.65,179.35,26.01,100.00,-100,100,-12,7
71,0.93,179.07,31.07,100.00,-100,100,-13,8
81,1.27,178.73,37.05,100.00,-100,100,-14,9
91,1.65,178.35,39.69,100.00,-100,100,-16,11
101,2.07,177.93,44.58,100.00,-100,100,-17,13
111,2.52,177.48,45.44,100.00,-100,100,-18,14
121,2.97,177.03,44.14,100.00,-100,100,-20,16
131,3.43,176.57,48.38,100.00,-100,100,-22,17
141,3.92,176.08,51.00,100.00,-100,100,-24,19
151,4.44,175.56,52.05,100.00,-100,100,-26,20
161,4.97,175.03,56.13,100.00,-100,100,-28,22
171,5.55,174.45,59.57,100.00,-100,100,-30,24
181,6.16,173.84,63.35,100.00,-100,100,-32,26
191,6.80,173.20,65.95,100.00,-100,100,-34,28
201,7.49,172.51,70.64,100.00,-100,100,-36,30
211,8.20,171.80,72.09,100.00,-100,100,-39,33
221,8.95,171.05,77.70,100.00,-100,100,-41,36
231,9.74,170.26,81.43,100.00,-100,100,-44,39
241,10.56,169.44,84.37,100.00,-100,100,-46,42
251,11.42,168.58,84.96,100.00,-100,100,-50,45
261,12.28,167.72,88.52,100.00,-100,100,-52,48
271,13.17,166.83,89.24,100.00,-100,100,-55,51
281,14.08,165.92,92.00,100.00,-100,100,-58,55
291,15.01,164.99,95.68,100.00,-100,100,-60,58
301,15.97,164.03,97.07,100.00,-100,100,-64,61
311,16.96,163.04,99.84,100.00,-100,100,-66,65
321,17.97,162.03,102.69,100.00,-100,100,-69,69
331,19.01,160.99,104.96,100.00,-100,100,-73,73
341,20.07,159.93,107.75,100.00,-100,100,-76,77
351,21.15,158.85,110.12,100.00,-100,100,-80,81
361,22.27,157.73,112.46,100.00,-100,100,-83,85
371,23.42,156.58,116.38,100.00,-100,100,-87,90
381,24.60,155.40,120.70,100.00,-100,100,-91,96
391,25.84,154.16,127.10,100.00,-100,100,-95,100
401,27.09,152.91,120.84,100.00,-100,100,-99,105
411,28.32,151.68,125.66,100.00,-100,100,-102,109
421,29.56,150.44,123.18,100.00,-100,100,-106,114
431,30.82,149.18,127.93,100.00,-100,100,-110,119
441,32.11,147.89,130.42,100.00,-100,100,-113,124
451,33.44,146.56,135.29,100.00,-100,100,-117,130
461,34.81,145.19,138.55,100.00,-100,100,-121,135
471,36.19,143.81,139.08,100.00,-100,100,-125,140
481,37.60,142.40,140.20,100.00,-100,100,-128,145
491,39.02,140.98,143.48,100.00,-100,100,-132,150
501,40.46,139.54,143.57,100.00,-100,100,-136,156
511,41.91,138.09,145.64,100.00,-100,100,-140,161
521,43.34,136.66,141.35,100.00,-100,100,-144,167
531,44.78,135.22,144.78,100.00,-100,100,-148,172
541,46.21,133.79,144.58,100.00,-100,100,-152,178
551,47.68,132.32,147.02,100.00,-100,100,-156,184
561,49.14,130.86,148.79,100.00,-100,100,-160,189
571,50.64,129.36,147.74,100.00,-100,100,-164,195
581,52.11,127.89,149.90,100.00,-100,100,-168,201
591,53.64,126.36,152.59,100.00,-100,100,-172,207
601,55.16,124.84,152.88,100.00,-100,100,-176,213
611,56.71,123.29,155.71,100.00,-100,100,-179,219
621,58.23,121.77,150.88,100.00,-100,100,-183,225
631,59.76,120.24,154.39,100.00,-100,100,-188,231
641,61.31,118.69,155.42,100.00,-100,100,-192,237
651,62.89,117.11,159.97,100.00,-100,100,-196,244
661,64.49,115.51,159.00,100.00,-100,100,-200,250
671,66.06,113.94,157.31,100.00,-100,100,-204,256
681,67.64,112.36,158.62,100.00,-100,100,-207,263
691,69.24,110.76,162.98,100.00,-100,100,-211,269
701,70.89,109.11,164.99,100.00,-100,100,-215,276
711,72.56,107.44,169.67,100.00,-100,100,-219,283
721,74.25,105.75,168.38,100.00,-100,100,-223,289
731,75.93,104.07,168.18,100.00,-100,100,-227,296
741,77.62,102.38,169.83,100.00,-100,100,-231,303
751,79.34,100.66,174.03,100.00,-100,100,-235,310
761,81.07,98.93,172.09,100.00,-100,100,-239,316
771,82.79,97.21,172.54,100.00,-100,100,-243,323
781,84.51,95.49,170.45,100.00,-100,100,-247,331
791,86.25,93.75,175.27,100.00,-100,100,-252,337
801,87.98,92.02,171.77,100.00,-100,100,-256,344
811,89.71,90.29,170.50,100.00,-100,100,-260,351
821,91.40,88.60,169.10,100.00,-100,100,-263,359
831,93.11,86.89,174.67,100.00,-100,100,-267,365
841,94.83,85.17,169.30,100.00,-100,100,-271,373
851,96.54,83.46,172.77,100.00,-100,100,-274,379
861,98.26,81.74,172.79,100.00,-100,100,-278,388
871,100.03,79.97,181.14,100.00,-100,100,-282,395
881,101.81,78.19,175.19,100.00,-100,100,-287,403
891,103.58,76.42,178.94,100.00,-100,100,-291,410
901,105.35,74.65,173.38,100.00,-100,100,-294,419
911,107.09,72.91,177.89,100.00,-100,100,-298,425
921,108.86,71.14,173.52,100.00,-100,100,-302,434
931,110.61,69.39,176.42,100.00,-100,100,-306,441
941,112.37,67.63,176.00,100.00,-100,100,-309,449
951,114.14,65.86,177.96,100.00,-100,100,-313,456
961,115.90,64.10,174.75,100.00,-100,100,-316,465
971,117.65,62.35,174.08,100.00,-100,100,-320,472
981,119.39,60.61,172.06,100.00,-100,100,-324,479
991,121.09,58.91,169.32,100.00,-100,100,-328,486
1001,122.78,57.22,168.87,100.00,-100,100,-331,494
1011,124.47,55.53,171.90,100.00,-100,100,-335,501
1021,126.21,53.79,173.63,100.00,-100,100,-339,509
1031,127.93,52.07,170.51,100.00,-100,100,-342,516
1041,129.64,50.36,170.65,100.00,-100,100,-346,524
1051,131.35,48.65,172.01,100.00,-100,100,-348,532
1061,133.09,46.91,171.61,100.00,-100,100,-353,539
1071,134.78,45.22,171.67,100.00,-100,100,-356,547
1081,136.51,43.49,171.54,100.00,-100,100,-360,555
1091,138.22,41.78,173.50,100.00,-100,100,-363,562
1101,139.96,40.04,172.81,100.00,-100,100,-367,570
1111,141.69,38.31,171.28,100.00,-100,100,-370,578
1121,143.38,36.62,169.71,100.00,-100,100,-373,586
1131,145.10,34.90,169.09,100.00,-100,100,-377,593
1141,146.78,33.22,167.52,100.00,-100,100,-380,600
1151,148.43,31.57,163.19,100.00,-100,100,-382,607
1161,150.07,29.93,165.44,100.00,-100,100,-386,614
1171,151.75,28.25,168.02,93.18,-100,100,-388,621
1181,153.40,26.60,161.80,87.73,-93,93,-391,629
1191,155.02,24.98,161.11,82.89,-87,87,-394,635
1201,156.62,23.38,160.67,77.05,-82,82,-396,643
1211,158.23,21.77,159.61,70.42,-77,77,-399,649
1221,159.79,20.21,152.29,65.94,-70,70,-401,655
1231,161.30,18.70,147.84,61.18,-65,65,-403,662
1241,162.77,17.23,146.05,56.67,-61,61,-405,669
1251,164.23,15.77,144.43,50.95,-56,56,-407,674
1261,165.62,14.38,132.99,46.94,-50,50,-409,680
1271,166.92,13.08,125.80,44.33,-46,46,-412,685
1281,168.14,11.86,119.07,41.73,-44,44,-413,690
1291,169.31,10.69,115.69,37.85,-41,41,-414,695
1301,170.44,9.56,108.17,34.49,-37,37,-416,700
1311,171.49,8.51,102.08,32.41,-34,34,-418,704
1321,172.49,7.51,95.03,29.34,-32,32,-419,707
1331,173.38,6.62,83.42,28.57,-29,29,-420,711
1341,174.18,5.82,75.02,27.84,-28,28,-422,714
1351,174.89,5.11,67.06,27.50,-27,27,-423,716
1361,175.54,4.46,59.64,26.56,-27,27,-424,719
1371,176.09,3.91,50.09,26.83,-26,26,-424,720
1381,176.54,3.46,39.78,28.05,-26,26,-425,722
1391,176.90,3.10,31.84,28.99,-28,28,-426,723
1401,177.19,2.81,25.16,30.09,-28,28,-426,724
1411,177.40,2.60,17.63,31.37,-30,30,-426,724
1421,177.55,2.45,12.48,32.73,-31,31,-427,724
1431,177.65,2.35,6.96,34.02,-32,32,-427,724
---- FIM (143 amostras) ----
