=== Conectado a bancada de giro ===
Envie 's' para girar. 'p' aborta.
[GIRO] Girando... (log so no fim)
[GIRO] Alvo +180.0 | Final +184.08 | Erro -4.08 | 1469 ms | fim: travou
---- INICIO TELEMETRIA (CSV) ----
t_ms,ang_z,erro,velGiro,correcao,pwmEsq,pwmDir,encEsq,encDir
11,-0.00,180.00,-0.03,150.00,0,0,0,0
21,-0.00,180.00,-0.02,150.00,-150,150,-4,4
31,0.01,179.99,8.86,150.00,-150,150,-8,11
41,0.17,179.83,28.30,150.00,-150,150,-10,22
51,0.51,179.49,43.15,150.00,-150,150,-14,22
61,0.96,179.04,38.68,150.00,-150,150,-23,23
71,1.32,178.68,37.97,150.00,-150,150,-28,27
81,1.75,178.25,46.68,150.00,-150,150,-32,39
91,2.25,177.75,57.54,150.00,-150,150,-34,50
101,2.97,177.03,83.71,150.00,-150,150,-41,50
111,3.79,176.21,75.81,150.00,-150,150,-54,55
121,4.54,175.46,85.10,150.00,-150,150,-61,66
131,5.39,174.61,86.07,150.00,-150,150,-66,85
141,6.33,173.67,109.13,150.00,-150,150,-71,92
151,7.55,172.45,123.92,150.00,-150,150,-82,96
161,8.73,171.27,115.54,150.00,-150,150,-92,107
171,9.92,170.08,121.31,150.00,-150,150,-98,126
181,11.11,168.89,121.04,150.00,-150,150,-102,149
194,12.81,167.19,148.42,150.00,-150,150,-110,161
204,14.39,165.61,158.64,150.00,-150,150,-122,166
214,15.91,164.09,155.21,150.00,-150,150,-129,179
224,17.46,162.54,152.19,150.00,-150,150,-138,201
234,18.99,161.01,153.55,150.00,-150,150,-144,226
244,20.59,159.41,178.04,150.00,-150,150,-152,230
254,22.43,157.57,176.43,150.00,-150,150,-166,236
264,24.11,155.89,164.74,150.00,-150,150,-178,248
274,25.80,154.20,173.90,150.00,-150,150,-184,267
284,27.50,152.50,170.65,150.00,-150,150,-191,282
294,29.35,150.65,195.79,150.00,-150,150,-201,284
304,31.24,148.76,176.98,150.00,-150,150,-215,291
314,33.00,147.00,180.30,150.00,-150,150,-222,306
324,34.77,145.23,173.36,150.00,-150,150,-232,326
334,36.55,143.45,186.90,150.00,-150,150,-238,337
344,38.53,141.47,203.55,150.00,-150,150,-249,341
354,40.49,139.51,189.15,150.00,-150,150,-265,350
364,42.39,137.61,196.19,150.00,-150,150,-272,365
374,44.35,135.65,192.11,150.00,-150,150,-281,388
384,46.29,133.71,203.04,150.00,-150,150,-288,406
394,48.46,131.54,230.33,150.00,-150,150,-298,409
404,50.75,129.25,222.21,150.00,-150,150,-312,420
414,52.98,127.02,226.75,150.00,-150,150,-320,440
424,55.25,124.75,225.94,150.00,-150,150,-328,464
