=== Conectado a bancada de giro ===
1:+90  2:-90  3:+180  4:-180   ('p' aborta durante o giro)
[GIRO] Comando: 90 graus
[GIRO] Girando... (log so no fim)
[GIRO] Alvo +90.0 | Final +94.01 | Erro -4.01 | 785 ms | fim: ok
---- INICIO TELEMETRIA (CSV) ----
t_ms,ang_z,erro,velGiro,correcao,pwmEsq,pwmDir,encEsq,encDir
13,0.00,90.00,-0.02,150.00,0,0,0,0
26,-0.00,90.00,0.15,150.00,-150,150,-7,6
39,0.09,89.91,23.64,150.00,-150,150,-14,15
52,0.57,89.43,50.81,150.00,-150,150,-20,20
65,1.30,88.70,52.95,150.00,-150,150,-30,23
78,1.92,88.08,48.06,150.00,-150,150,-40,30
91,2.67,87.33,66.64,150.00,-150,150,-46,43
104,3.61,86.39,82.06,150.00,-150,150,-50,49
117,4.68,85.32,77.08,150.00,-150,150,-60,54
130,5.71,84.29,84.22,150.00,-150,150,-66,66
143,6.86,83.14,94.29,150.00,-150,150,-72,78
156,8.22,81.78,106.70,150.00,-150,150,-83,82
169,9.55,80.45,101.19,150.00,-150,150,-89,101
182,10.83,79.17,107.22,150.00,-150,150,-94,115
195,12.36,77.64,117.21,150.00,-150,150,-107,122
208,13.89,76.11,117.20,150.00,-150,150,-112,144
221,15.46,74.54,139.91,150.00,-150,150,-119,150
234,17.27,72.73,135.93,150.00,-150,150,-129,163
247,19.07,70.93,140.48,150.00,-150,150,-136,181
260,21.04,68.96,158.45,150.00,-150,150,-146,188
273,23.05,66.95,155.59,150.00,-150,150,-154,208
286,25.08,64.92,160.30,150.00,-150,150,-162,226
299,27.33,62.67,173.58,150.00,-150,150,-175,234
312,29.59,60.41,178.87,150.00,-150,150,-183,254
325,31.94,58.06,193.52,150.00,-150,150,-192,263
338,34.42,55.58,186.80,150.00,-150,150,-202,276
351,36.88,53.12,192.49,150.00,-150,150,-210,288
364,39.43,50.57,195.08,150.00,-150,150,-222,298
377,41.97,48.03,196.60,150.00,-150,150,-228,317
390,44.58,45.42,209.56,150.00,-150,150,-237,328
403,47.32,42.68,209.91,150.00,-150,150,-249,341
416,50.09,39.91,214.03,139.71,-150,150,-256,357
429,52.92,37.08,224.16,128.20,-139,139,-263,371
442,55.85,34.15,220.74,114.55,-128,128,-275,384
455,58.70,31.30,215.51,105.55,-114,114,-281,407
468,61.41,28.59,213.02,98.23,-105,105,-287,420
481,64.17,25.83,206.08,90.00,-98,98,-294,432
494,66.84,23.16,200.54,90.00,-90,90,-299,442
507,69.40,20.60,194.48,90.00,-90,90,-304,453
520,71.92,18.08,190.71,90.00,-90,90,-309,463
533,74.36,15.64,183.01,90.00,-90,90,-313,474
546,76.72,13.28,183.55,90.00,-90,90,-318,484
559,79.08,10.92,175.77,90.00,-90,90,-323,494
572,81.35,8.65,173.27,90.00,-90,90,-326,505
585,83.62,6.38,174.46,90.00,-90,90,-331,514
598,85.85,4.15,167.21,2.21,-90,90,-336,524
611,87.99,2.01,163.67,-5.98,-2,2,-338,533
624,90.02,-0.02,145.48,-13.62,5,-5,-338,537
637,91.76,-1.76,117.68,-15.88,13,-13,-338,540
650,93.06,-3.06,84.07,-12.66,15,-15,-339,544
663,94.00,-4.00,58.43,-9.25,12,-12,-340,547
676,94.62,-4.62,33.06,-90.00,9,-9,-340,549
689,94.91,-4.91,9.90,-90.00,90,-90,-338,548
702,94.84,-4.84,-15.18,-90.00,90,-90,-337,547
715,94.62,-4.62,-17.42,-90.00,90,-90,-337,546
728,94.40,-4.40,-17.69,13.01,90,-90,-336,546
741,94.16,-4.16,-16.78,14.25,-13,13,-336,546
754,94.02,-4.02,-4.52,12.22,-14,14,-336,547
767,94.01,-4.01,0.10,8.77,-12,12,-336,549
---- FIM (59 amostras) ----
[GIRO] Fim.  1:+90  2:-90  3:+180  4:-180 para repetir.
[GIRO] Comando: -90 graus
[GIRO] Girando... (log so no fim)
[GIRO] Alvo -90.0 | Final -92.71 | Erro +2.71 | 720 ms | fim: ok
---- INICIO TELEMETRIA (CSV) ----
t_ms,ang_z,erro,velGiro,correcao,pwmEsq,pwmDir,encEsq,encDir
13,-0.00,-90.00,-0.03,-150.00,0,0,0,0
26,-0.00,-90.00,-1.06,-150.00,150,-150,2,-6
39,-0.12,-89.88,-16.52,-150.00,150,-150,4,-16
52,-0.44,-89.56,-37.71,-150.00,150,-150,10,-23
65,-1.03,-88.97,-53.91,-150.00,150,-150,14,-28
78,-1.74,-88.26,-50.49,-150.00,150,-150,20,-37
91,-2.46,-87.54,-58.70,-150.00,150,-150,34,-41
104,-3.28,-86.72,-75.76,-150.00,150,-150,39,-49
117,-4.31,-85.69,-80.65,-150.00,150,-150,51,-55
130,-5.33,-84.67,-81.16,-150.00,150,-150,65,-60
143,-6.48,-83.52,-91.93,-150.00,150,-150,68,-69
156,-7.64,-82.36,-91.78,-150.00,150,-150,78,-79
169,-8.90,-81.10,-99.58,-150.00,150,-150,91,-85
182,-10.30,-79.70,-118.48,-150.00,150,-150,97,-93
195,-11.81,-78.19,-114.90,-150.00,150,-150,103,-105
208,-13.32,-76.68,-121.45,-150.00,150,-150,116,-113
221,-14.91,-75.09,-128.68,-150.00,150,-150,134,-119
234,-16.74,-73.26,-146.16,-150.00,150,-150,140,-131
247,-18.63,-71.37,-153.69,-150.00,150,-150,148,-140
260,-20.68,-69.32,-163.14,-150.00,150,-150,158,-149
273,-22.90,-67.10,-173.32,-150.00,150,-150,166,-160
286,-25.15,-64.85,-176.36,-150.00,150,-150,178,-168
299,-27.52,-62.48,-185.60,-150.00,150,-150,190,-175
312,-30.02,-59.98,-191.03,-150.00,150,-150,202,-187
325,-32.49,-57.51,-193.23,-150.00,150,-150,220,-197
338,-35.09,-54.91,-210.97,-150.00,150,-150,230,-207
351,-37.83,-52.17,-209.99,-150.00,150,-150,248,-219
364,-40.64,-49.36,-226.35,-150.00,150,-150,260,-229
377,-43.55,-46.45,-222.73,-150.00,150,-150,277,-240
390,-46.52,-43.48,-234.05,-148.69,150,-150,288,-251
403,-49.51,-40.49,-231.72,-137.69,148,-148,308,-261
416,-52.52,-37.48,-235.90,-126.18,137,-137,328,-268
429,-55.69,-34.31,-239.61,-110.06,126,-126,341,-281
442,-58.71,-31.29,-231.56,-101.69,110,-110,362,-289
455,-61.59,-28.41,-215.10,-93.28,101,-101,383,-294
468,-64.47,-25.53,-215.76,-90.00,93,-93,395,-302
481,-67.17,-22.83,-201.13,-90.00,90,-90,412,-306
494,-69.70,-20.30,-195.49,-90.00,90,-90,423,-310
507,-72.21,-17.79,-184.52,-90.00,90,-90,434,-314
520,-74.60,-15.40,-180.43,-90.00,90,-90,444,-318
533,-76.90,-13.10,-170.38,-90.00,90,-90,452,-321
546,-79.03,-10.97,-156.60,-90.00,90,-90,462,-324
559,-81.01,-8.99,-150.78,-90.00,90,-90,470,-327
572,-82.93,-7.07,-139.45,-90.00,90,-90,478,-330
585,-84.68,-5.32,-127.12,-90.00,90,-90,486,-332
598,-86.28,-3.72,-124.14,-15.10,90,-90,492,-335
611,-87.89,-2.11,-120.11,-7.43,15,-15,498,-336
624,-89.36,-0.64,-101.90,-3.10,7,-7,502,-336
637,-90.55,0.55,-79.68,-3.63,3,-3,504,-336
650,-91.48,1.48,-62.25,-4.90,3,-3,506,-336
663,-92.17,2.17,-41.06,-6.69,4,-4,507,-336
676,-92.57,2.57,-20.84,-10.86,6,-6,509,-336
689,-92.73,2.73,-2.45,-15.58,10,-10,510,-336
702,-92.72,2.72,2.34,-19.40,15,-15,511,-336
---- FIM (54 amostras) ----
[GIRO] Fim.  1:+90  2:-90  3:+180  4:-180 para repetir.
[GIRO] Comando: 180 graus
[GIRO] Girando... (log so no fim)
