=== Conectado a bancada de reta ===
Envie 's' para rodar. 'p' aborta durante o movimento.
[BANCADA] Rodando... (log so no fim)
---- INICIO TELEMETRIA (CSV) ----
t_ms,encEsq,encDir,distEsq_cm,distDir_cm,ang_z,erro,correcao,pwmEsq,pwmDir
11,0,0,0.00,0.00,-0.00,0.00,0.00,0,0
22,0,0,0.00,0.00,-0.00,0.00,0.02,5,5
33,0,0,0.00,0.00,-0.00,0.00,0.03,10,10
44,0,1,0.00,0.02,-0.00,0.00,0.04,15,15
55,0,2,0.00,0.05,-0.00,0.00,0.06,20,20
66,0,4,0.00,0.10,-0.01,0.01,0.10,25,25
77,0,4,0.00,0.10,0.00,-0.00,-0.20,30,30
88,1,4,0.02,0.10,-0.00,0.00,0.17,35,35
99,1,4,0.02,0.10,-0.01,0.01,0.28,40,40
110,1,4,0.02,0.10,-0.01,0.01,0.08,45,45
121,1,4,0.02,0.10,-0.01,0.01,0.08,50,50
132,1,4,0.02,0.10,-0.02,0.02,0.17,55,55
143,1,4,0.02,0.10,-0.02,0.02,0.17,60,60
154,1,5,0.02,0.12,-0.02,0.02,0.24,65,65
165,1,5,0.02,0.12,-0.03,0.03,0.36,70,70
176,2,5,0.05,0.12,-0.03,0.03,0.34,75,75
187,2,5,0.05,0.12,-0.04,0.04,0.38,80,80
198,2,5,0.05,0.12,-0.04,0.04,0.44,85,85
209,3,5,0.07,0.12,-0.06,0.06,0.67,90,90
220,3,6,0.07,0.15,-0.07,0.07,0.63,95,95
231,4,6,0.10,0.15,-0.08,0.08,0.80,100,100
242,5,7,0.12,0.17,-0.09,0.09,0.89,105,105
253,6,8,0.15,0.20,-0.11,0.11,1.34,110,110
264,7,9,0.17,0.22,-0.14,0.14,1.62,114,116
275,9,11,0.22,0.27,-0.18,0.18,2.05,119,121
286,11,13,0.27,0.32,-0.20,0.20,1.85,118,122
297,15,16,0.37,0.40,-0.23,0.23,2.12,119,121
308,17,19,0.42,0.47,-0.23,0.23,1.54,118,122
319,21,23,0.52,0.57,-0.23,0.23,1.24,119,121
330,25,27,0.62,0.67,-0.22,0.22,1.26,119,121
341,30,32,0.74,0.79,-0.22,0.22,1.47,119,121
352,35,37,0.87,0.92,-0.20,0.20,0.61,119,121
363,41,44,1.02,1.09,-0.17,0.17,0.05,120,120
374,47,51,1.17,1.26,-0.11,0.11,-0.94,120,120
385,54,58,1.34,1.44,-0.02,0.02,-2.07,120,120
396,61,66,1.51,1.64,0.05,-0.05,-2.14,122,118
407,69,74,1.71,1.83,0.10,-0.10,-1.92,122,118
