=== Conectado a bancada de reta ===
Envie 's' para rodar. 'p' aborta durante o movimento.
[BANCADA] Rodando... (log so no fim)
---- INICIO TELEMETRIA (CSV) ----
t_ms,encEsq,encDir,distEsq_cm,distDir_cm,ang_z,erro,correcao,pwmEsq,pwmDir
11,0,0,0.00,0.00,0.01,-0.01,-0.04,0,0
22,0,0,0.00,0.00,0.01,-0.01,-0.30,5,5
33,0,0,0.00,0.00,0.02,-0.02,-0.34,10,10
44,0,0,0.00,0.00,0.03,-0.03,-0.38,15,15
55,0,0,0.00,0.00,0.04,-0.04,-0.42,20,20
66,1,0,0.02,0.00,0.04,-0.04,-0.45,25,25
77,1,1,0.02,0.02,0.05,-0.05,-0.49,30,30
88,1,1,0.02,0.02,0.07,-0.07,-0.80,35,35
99,1,1,0.02,0.02,0.07,-0.07,-0.56,40,40
110,1,2,0.02,0.05,0.08,-0.08,-0.78,45,45
121,1,2,0.02,0.05,0.09,-0.09,-0.79,50,50
132,1,2,0.02,0.05,0.10,-0.10,-0.93,55,55
143,1,2,0.02,0.05,0.11,-0.11,-0.89,60,60
154,1,2,0.02,0.05,0.13,-0.13,-1.27,65,65
165,2,2,0.05,0.05,0.15,-0.15,-1.61,71,69
176,2,3,0.05,0.07,0.18,-0.18,-2.02,76,74
187,2,4,0.05,0.10,0.23,-0.23,-2.69,82,78
198,3,5,0.07,0.12,0.28,-0.28,-3.19,87,83
209,4,6,0.10,0.15,0.33,-0.33,-3.41,93,87
220,5,7,0.12,0.17,0.37,-0.37,-3.31,98,92
231,6,9,0.15,0.22,0.41,-0.41,-3.64,103,97
242,8,11,0.20,0.27,0.45,-0.45,-3.82,108,102
253,11,14,0.27,0.35,0.48,-0.48,-3.83,113,107
264,14,17,0.35,0.42,0.52,-0.52,-4.15,118,112
275,17,20,0.42,0.50,0.52,-0.52,-3.24,124,116
286,21,24,0.52,0.59,0.52,-0.52,-3.23,123,117
297,26,29,0.64,0.72,0.51,-0.51,-2.93,123,117
308,32,34,0.79,0.84,0.51,-0.51,-2.98,122,118
319,37,40,0.92,0.99,0.52,-0.52,-3.65,122,118
330,43,47,1.07,1.17,0.60,-0.60,-5.86,123,117
341,49,53,1.21,1.31,0.67,-0.67,-5.92,125,115
352,56,60,1.39,1.49,0.68,-0.68,-4.54,125,115
363,64,68,1.59,1.69,0.69,-0.69,-4.79,124,116
374,72,76,1.78,1.88,0.76,-0.76,-6.66,124,116
385,80,84,1.98,2.08,0.85,-0.85,-7.68,126,114
396,89,93,2.21,2.31,0.83,-0.83,-4.66,127,113
407,98,103,2.43,2.55,0.84,-0.84,-5.51,124,116
418,107,112,2.65,2.78,0.95,-0.95,-8.79,125,115
429,118,122,2.93,3.02,0.97,-0.97,-6.60,128,112
440,128,133,3.17,3.30,1.01,-1.01,-7.50,126,114
451,140,144,3.47,3.57,1.09,-1.09,-9.09,127,113
462,150,155,3.72,3.84,1.14,-1.14,-8.33,129,111
473,162,167,4.02,4.14,1.24,-1.24,-10.56,128,112
484,174,178,4.31,4.41,1.33,-1.33,-10.81,130,110
495,185,190,4.59,4.71,1.35,-1.35,-9.00,130,110
506,200,203,4.96,5.03,1.44,-1.44,-11.42,128,112
517,212,215,5.26,5.33,1.53,-1.53,-11.91,131,109
